
Transactions Submitted
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

Cancelled
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

InProgress
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

Failed
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,Reason Code,

Future
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,
9994931,4394,2018/04/30,2,2 Day Debit,3,L,153.00,3,
10352944,3003,2018/04/30,1,2 Day Debit,3,L,170.00,3,
10353101,2042,2018/04/30,1,2 Day Debit,1,N,301.00,3,
10353846,2964,2018/04/30,1,2 Day Debit,3,G,153.00,3,
9919300,5119,2018/04/30,2,2 Day Debit,2,N,150.00,3,
9994933,4392,2018/04/30,2,2 Day Debit,3,N,300.00,3,
9916083,5447,2018/04/30,2,2 Day Debit,2,N,200.00,3,
9921672,4557,2018/04/30,2,2 Day Debit,2,P,201.00,3,
9995444,3612,2018/04/30,2,2 Day Debit,2,N,170.00,3,
10353001,2512,2018/04/30,1,2 Day Debit,1,T,37.00,3,
10353381,4883,2018/04/30,1,2 Day Debit,2,N,237.00,3,
10353832,5517,2018/04/30,1,2 Day Debit,3,L,300.00,3,
10352830,3676,2018/04/30,1,2 Day Debit,1,V,300.00,3,
10353281,4256,2018/04/30,1,2 Day Debit,2,N,300.00,3,
6160232,2865,2018/04/30,9,2 Day Debit,41,N,470.00,3,
9995579,3980,2018/04/30,2,2 Day Debit,3,N,238.00,3,
9949404,3080,2018/04/30,2,2 Day Debit,3,S,338.00,3,
9937972,3642,2018/04/30,2,2 Day Debit,2,M,200.00,3,
9995028,4186,2018/04/30,2,2 Day Debit,2,M,301.00,3,
10352847,2748,2018/04/30,1,2 Day Debit,3,N,108.00,3,
10353298,5057,2018/04/30,1,2 Day Debit,2,Q,300.00,3,
10353749,5070,2018/04/30,1,2 Day Debit,3,T,300.00,3,
10354200,3040,2018/04/30,1,2 Day Debit,3,N,300.00,3,
10353198,5230,2018/04/30,1,2 Day Debit,2,N,300.00,3,
10353649,4111,2018/04/30,1,2 Day Debit,1,N,301.00,3,
9995598,4030,2018/04/30,2,2 Day Debit,3,E,50.00,3,
9916748,5314,2018/04/30,2,2 Day Debit,2,P,350.00,3,
10353215,5197,2018/04/30,1,2 Day Debit,1,N,300.00,3,
10353666,2352,2018/04/30,1,2 Day Debit,2,B,301.00,3,
10354117,2045,2018/04/30,1,2 Day Debit,3,N,51.00,3,
10353115,4895,2018/04/30,1,2 Day Debit,1,N,100.00,3,
10353566,5367,2018/04/30,1,2 Day Debit,1,S,83.00,3,
9994886,4560,2018/04/30,2,2 Day Debit,3,N,301.00,3,
10353744,3734,2018/04/30,1,2 Day Debit,3,V,301.00,3,
9920668,5012,2018/04/30,2,2 Day Debit,2,N,201.00,3,
9922472,3831,2018/04/30,2,2 Day Debit,2,A,188.00,3,
10353507,2482,2018/04/30,1,2 Day Debit,3,N,300.00,3,
10353958,3421,2018/04/30,1,2 Day Debit,3,T,153.00,3,
9938497,3529,2018/04/30,2,2 Day Debit,2,N,150.00,3,
